Time (s),Altitude (ft),Total velocity (ft/s),Total acceleration (ft/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,0.299,29.943,983.044
0.02,-0.001,0.261,26.097,983.044
0.03,0.003,0.581,58.098,983.043
0.04,0.02,2.808,222.696,983.043
0.05,0.063,5.955,314.828,983.042
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.139,9.258,330.408,983.04
0.07,0.246,12.479,322.172,983.038
0.08,0.386,15.606,312.753,983.035
0.09,0.556,18.72,311.451,983.031
0.1,0.757,21.826,310.661,983.027
0.11,0.988,24.924,309.869,983.021
0.12,1.251,28.014,309.075,983.015
0.13,1.544,31.096,308.279,983.009
0.14,1.867,34.17,307.48,983.002
0.15,2.221,37.236,306.68,982.994
0.16,2.606,40.295,305.978,982.985
0.17,3.02,43.357,306.2,982.976
0.18,3.465,46.423,306.647,982.966
0.19,3.941,49.493,307.092,982.955
0.2,4.447,52.568,307.536,982.944
0.21,4.983,55.647,307.979,982.932
0.22,5.55,58.731,308.42,982.919
0.23,6.148,61.819,308.861,982.906
0.24,6.776,64.911,309.3,982.892
0.25,7.435,68.008,309.737,982.877
0.26,8.125,71.109,310.173,982.862
0.27,8.845,74.214,310.608,982.845
0.28,9.596,77.324,311.042,982.829
0.29,10.378,80.438,311.474,982.811
0.3,11.191,83.557,311.905,982.793
# Event LAUNCHROD occurred at t=0.31 seconds
0.31,12.035,86.68,312.335,982.774
0.325,13.359,91.372,312.924,982.744
0.348,15.476,98.428,313.759,982.697
0.381,18.946,109.052,314.998,982.619
0.431,24.741,124.863,316.469,982.489
0.481,31.319,140.707,317.111,982.342
0.531,38.683,156.58,317.637,982.177
0.581,46.832,172.477,318.121,981.995
0.631,55.768,188.398,318.561,981.795
0.681,65.493,204.339,318.958,981.577
0.731,76.007,220.28,318.914,981.341
0.781,87.308,236.178,318.028,981.088
0.831,99.395,252.029,317.072,980.817
0.881,112.265,267.83,316.069,980.529
0.931,125.914,283.58,315.017,980.224
0.981,140.342,299.276,313.919,979.9
1.031,155.543,314.886,312.153,979.56
1.081,171.512,330.374,309.709,979.202
1.131,188.244,345.738,307.215,978.828
1.181,205.73,360.975,304.672,978.436
1.231,223.966,376.084,302.08,978.028
1.281,242.944,391.061,299.438,977.603
1.331,262.657,405.904,296.745,977.161
1.381,283.099,420.611,294.003,976.703
